"filename", "language", "C++", "CMake", "JSON", "Markdown", "YAML", "Swift", "HTML", "Dart", "XML", "Properties", "comment", "blank", "total"
"d:\ALLy\ally\README.md", "Markdown", 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 101, 444
"d:\ALLy\ally\RELEASES.md", "Markdown", 0, 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 69, 239
"d:\ALLy\ally\analysis_options.yaml", "YAML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\ALLy\ally\android\app\google-services.json", "JSON", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
"d:\ALLy\ally\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"d:\ALLy\ally\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 14, 1, 67
"d:\ALLy\ally\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"d:\ALLy\ally\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"d:\ALLy\ally\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"d:\ALLy\ally\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"d:\ALLy\ally\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"d:\ALLy\ally\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\ALLy\ally\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"d:\ALLy\ally\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"d:\ALLy\ally\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"d:\ALLy\ally\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\ALLy\ally\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\ALLy\ally\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\ALLy\ally\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 1, 38
"d:\ALLy\ally\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 1, 27
"d:\ALLy\ally\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\ALLy\ally\lib\background_location_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 446, 0, 0, 5, 69, 520
"d:\ALLy\ally\lib\history_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 841, 0, 0, 4, 37, 882
"d:\ALLy\ally\lib\login_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 539, 0, 0, 2, 40, 581
"d:\ALLy\ally\lib\login_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 352, 0, 0, 23, 47, 422
"d:\ALLy\ally\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 9, 7, 135
"d:\ALLy\ally\lib\map_handlers\absence_reason_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 318, 0, 0, 9, 26, 353
"d:\ALLy\ally\lib\map_handlers\attendance_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 333, 0, 0, 23, 43, 399
"d:\ALLy\ally\lib\map_handlers\building_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 3, 7, 81
"d:\ALLy\ally\lib\map_handlers\history_entry.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 5, 54
"d:\ALLy\ally\lib\map_handlers\history_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 3, 10, 94
"d:\ALLy\ally\lib\map_handlers\map_animations.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 14, 98
"d:\ALLy\ally\lib\map_handlers\map_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 175, 0, 0, 21, 15, 211
"d:\ALLy\ally\lib\map_handlers\planned_absence_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 257, 0, 0, 6, 17, 280
"d:\ALLy\ally\lib\map_handlers\presence_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 11, 6, 49
"d:\ALLy\ally\lib\map_handlers\student_info_modal.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 602, 0, 0, 9, 29, 640
"d:\ALLy\ally\lib\map_handlers\student_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 176, 0, 0, 13, 29, 218
"d:\ALLy\ally\lib\map_handlers\teacher_assignment_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 8, 8, 72
"d:\ALLy\ally\lib\map_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 2147, 0, 0, 113, 127, 2387
"d:\ALLy\ally\lib\notification_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 4, 18, 104
"d:\ALLy\ally\lib\offline_location_queue.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 8, 13, 130
"d:\ALLy\ally\lib\profile_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 1513, 0, 0, 40, 78, 1631
"d:\ALLy\ally\linux\CMakeLists.txt", "CMake", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 129
"d:\ALLy\ally\linux\flutter\CMakeLists.txt", "CMake", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"d:\ALLy\ally\linux\flutter\generated_plugin_registrant.cc", "C++", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 24
"d:\ALLy\ally\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\ALLy\ally\linux\flutter\generated_plugins.cmake", "CMake", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\ALLy\ally\linux\runner\CMakeLists.txt", "CMake", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\ALLy\ally\linux\runner\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\ALLy\ally\linux\runner\my_application.cc", "C++", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"d:\ALLy\ally\linux\runner\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\ALLy\ally\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 3, 4, 39
"d:\ALLy\ally\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"d:\ALLy\ally\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"d:\ALLy\ally\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"d:\ALLy\ally\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"d:\ALLy\ally\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"d:\ALLy\ally\pubspec.yaml", "YAML", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 1, 7, 55
"d:\ALLy\ally\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 15, 5, 39
"d:\ALLy\ally\web\manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\ALLy\ally\windows\CMakeLists.txt", "CMake", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"d:\ALLy\ally\windows\flutter\CMakeLists.txt", "CMake", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"d:\ALLy\ally\windows\flutter\generated_plugin_registrant.cc", "C++", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 42
"d:\ALLy\ally\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\ALLy\ally\windows\flutter\generated_plugins.cmake", "CMake", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"d:\ALLy\ally\windows\runner\CMakeLists.txt", "CMake", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"d:\ALLy\ally\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"d:\ALLy\ally\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\ALLy\ally\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\ALLy\ally\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\ALLy\ally\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"d:\ALLy\ally\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\ALLy\ally\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"d:\ALLy\ally\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 582, 474, 277, 516, 48, 81, 19, 8382, 488, 8, 524, 1150, 12549
